alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
0,0,0.6,0.56052,0.56052,53.58,184.57,0.030032,0.030032,3.0368,288.15,286.25,101.33,3.0368,387.93,384.01,220.66,3.0669,648.78,644.13,110.95
3000,0.35,0.8,1.0348,1.5909,35.029,214.01,0.036247,0.036247,4.8352,275.24,266.42,76.309,4.8352,449.11,443.18,331.42,4.8715,569.97,557.22,98.621
4500,0.175,0.7,0.57315,0.73756,42.851,196.82,0.02456,0.02456,2.9121,260.49,256.05,58.976,2.9121,395.92,391.04,194.63,2.9366,560.39,552,70.611
1500,0.525,0.9,1.8929,3.2101,32.481,252.36,0.061483,0.061483,7.5007,293.77,278.87,102.03,7.5007,507.87,501.27,546.25,7.5621,624.85,607.61,145.05
2250,0.2625,0.85,1.6401,2.1425,29.23,284.13,0.04794,0.04794,5.7724,277.3,265.24,80.841,5.7724,473.5,467.39,411.05,5.8203,608.86,593.85,116.05
5250,0.6125,0.65,0.061943,0.60035,255.26,22.519,0.015812,0.015812,2.7507,273.12,269.86,67.3,2.7507,381.1,375.62,167.97,2.7665,461.44,454.94,62.686
3750,0.0875,0.95,2.5746,2.7415,23.113,439.52,0.059506,0.059506,5.8577,264.18,241.77,64.017,5.8577,497.57,491.57,441.22,5.9172,670.23,651.39,116.47
750,0.4375,0.75,0.66339,1.4263,53.554,128.37,0.035527,0.035527,5.1678,294.14,288.52,105.65,5.1678,443.61,437.61,348.4,5.2033,564.34,554.6,117.7
1125,0.21875,0.975,3.2776,3.8659,25.565,409.47,0.083792,0.083792,8.0046,283.53,260.33,91.521,8.0046,527.42,521.11,617.67,8.0884,704.2,684.52,163.26
4125,0.56875,0.775,0.57209,1.3849,47.745,129.74,0.027315,0.027315,4.4094,278.27,270.83,75.526,4.4094,438.15,431.98,289.67,4.4367,518.46,506.78,85.456
5625,0.04375,0.875,1.6772,1.7365,22.968,393.75,0.038522,0.038522,4.2596,251.68,235.84,49.725,4.2596,456.98,451.37,304.66,4.2981,605.92,589.4,82.02
2625,0.39375,0.675,0.33303,0.77275,74.064,98.44,0.024666,0.024666,3.3831,279.51,276,81.812,3.3831,400.76,395.6,222.92,3.4077,546.45,539.44,86.934
1875,0.13125,0.725,0.86416,1.0379,38.029,217.36,0.032863,0.032863,3.9757,276.91,272.03,81.715,3.9757,420.84,415.66,272.51,4.0085,592.39,583.48,98.865
4875,0.48125,0.925,1.807,2.6652,28.604,325.34,0.051687,0.051687,5.5542,268.36,249.26,64.365,5.5542,492.03,485.9,409.6,5.6058,640.23,622.03,107.39
3375,0.30625,0.625,0.26238,0.52164,84.211,101.38,0.022095,0.022095,2.5879,271.21,268.72,71.322,2.5879,376.98,372.58,173.2,2.61,559.99,554.41,75.83
375,0.65625,0.825,0.89611,2.5286,49.79,122.07,0.044618,0.044618,7.3412,310.3,301.53,129.39,7.3412,488.3,481.21,502.26,7.3858,556.04,542.56,142.67
